wallet_id,public_key,balance,dataset,transaction_id,from_wallet,to_wallet,amount,timestamp,signature,block_number,previous_hash,transactions,nonce,hash,contract_id,creator_wallet,contract_code,status,miner_wallet,reward_amount
wallet_0,045050...9817,758.1962582106271,wallets,,Wallet4475,Wallet778,416.33,1724046597,Signature631426,,,,,,,,,,,
wallet_1,044307...4089,262.7164417434118,wallets,,Wallet9777,Wallet4365,850.14,1724102759,Signature927605,,,,,,,,,,,
wallet_2,049140...9300,55.66206002061313,wallets,,Wallet4419,Wallet7845,809.19,1713367216,Signature805846,,,,,,,,,,,
wallet_3,041245...6145,373.0858513354648,wallets,,Wallet9965,Wallet6269,964.28,1725049493,Signature563920,,,,,,,,,,,
wallet_4,042427...4074,633.8370875231705,wallets,,Wallet2830,Wallet9822,632.06,1725927059,Signature946050,,,,,,,,,,,
wallet_5,048269...6773,623.6034941236927,wallets,,Wallet5458,Wallet6776,169.12,1726793469,Signature691146,,,,,,,,,,,
wallet_6,046168...7690,7.936495252531817,wallets,,Wallet354,Wallet9069,437.74,1715051670,Signature211841,,,,,,,,,,,
wallet_7,041184...6857,713.149288156801,wallets,,Wallet3225,Wallet2007,182.72,1726541677,Signature130202,,,,,,,,,,,
wallet_8,041391...9631,841.2980871193483,wallets,,Wallet5297,Wallet9083,137.6,1721271761,Signature340313,,,,,,,,,,,
wallet_9,043300...1784,292.7297424640718,wallets,,Wallet6640,Wallet4479,260.03,1709540245,Signature288791,,,,,,,,,,,
wallet_10,043337...8537,359.08760660573614,wallets,,Wallet8862,Wallet3614,804.56,1713951009,Signature485250,,,,,,,,,,,
wallet_11,044058...2895,907.8894109976764,wallets,,Wallet5433,Wallet8839,738.48,1728882876,Signature153578,,,,,,,,,,,
wallet_12,042750...8215,51.66718909906265,wallets,,Wallet1216,Wallet4487,632.17,1711452342,Signature100453,,,,,,,,,,,
wallet_13,045199...4321,993.8893571902854,wallets,,Wallet5890,Wallet9333,47.12,1713044678,Signature670047,,,,,,,,,,,
wallet_14,046111...1071,387.5855166817369,wallets,,Wallet108,Wallet6088,678.37,1715137303,Signature497356,,,,,,,,,,,
wallet_15,049917...9869,431.40899600812446,wallets,,Wallet7615,Wallet4729,656.55,1710753882,Signature680941,,,,,,,,,,,
wallet_16,048332...2320,4.557308873296861,wallets,,Wallet3327,Wallet3560,138.2,1707897084,Signature648412,,,,,,,,,,,
wallet_17,048015...1440,804.0567263065739,wallets,,Wallet4517,Wallet8335,515.79,1709082479,Signature539792,,,,,,,,,,,
wallet_18,048879...3144,98.03091713185152,wallets,,Wallet6631,Wallet8588,741.89,1728969370,Signature119932,,,,,,,,,,,
wallet_19,049246...5663,375.5875329591613,wallets,,Wallet2858,Wallet6155,791.18,1709283688,Signature264655,,,,,,,,,,,
wallet_20,041109...5783,0.1533215737847815,wallets,,Wallet1169,Wallet1366,991.75,1709487137,Signature232884,,,,,,,,,,,
wallet_21,042508...7647,295.55806794748,wallets,,Wallet3774,Wallet5312,48.22,1718360038,Signature715601,,,,,,,,,,,
wallet_22,049486...5091,103.19162976582363,wallets,,Wallet3622,Wallet4144,675.6,1734568835,Signature489983,,,,,,,,,,,
wallet_23,045795...3509,799.1594707528196,wallets,,Wallet8723,Wallet7909,71.18,1721258731,Signature386202,,,,,,,,,,,
wallet_24,046687...3130,258.09687266870253,wallets,,Wallet7916,Wallet2382,16.37,1733647722,Signature286378,,,,,,,,,,,
wallet_25,049548...4344,830.8332680982312,wallets,,Wallet746,Wallet6813,530.06,1727900139,Signature582280,,,,,,,,,,,
wallet_26,041682...3439,655.7650091028491,wallets,,Wallet8198,Wallet5566,851.98,1727981208,Signature830555,,,,,,,,,,,
wallet_27,048117...3781,711.1006682902403,wallets,,Wallet6878,Wallet6842,435.72,1725739652,Signature839159,,,,,,,,,,,
wallet_28,048361...1959,191.07639470892175,wallets,,Wallet8250,Wallet8987,611.82,1727816782,Signature396583,,,,,,,,,,,
wallet_29,047509...6899,999.1266734814836,wallets,,Wallet5061,Wallet1280,652.39,1714253971,Signature770446,,,,,,,,,,,
